"id","village_name","district_id"
"101","ELIYASI","17"
"102","MAKUPE","17"
"103","MAYELE","17"
"104","MPOSERA","17"
"105","NGWANGWA","17"
"106","SITIMA","17"
"107","JENYA","17"
"108","JUMBE","17"
"109","SANZA","17"
"110","ZALENGELA","17"
"111","CHALENGA","17"
"112","KAMPHUNDI","17"
"113","KPASULE","17"
"114","MACKENZIE","17"
"115","MAJO","17"
"116","MISOMALI","17"
"117","AMONITSUTE","17"
"118","CHINTENDERE","17"
"119","CHIPOTE","17"
"120","DOMOKA","17"
"121","KACHIKUNI","17"
"122","MAJAWA","17"
"123","MATCHINGO","17"
"124","MATOLA","17"
"125","MPEZENI","17"
"126","MTSITSA","17"
"127","ZAMMIMBA","17"
"128","KANYUMBA-AKA","17"
"129","MALAKATA","17"
"130","MALULA","17"
"131","MALULA TC","17"
"132","RABISONI","17"
"133","CHIKUSE","17"
"134","KALEMBERA","17"
"135","KANDUNGULE","17"
"136","MSIYAMANDA","17"
"137","TEMBO","17"
"138","CHITIMBE I","17"
"139","CHITIMBE II","17"
"140","GOMEZA","17"
"141","AYANJA AWO","17"
"142","CHIWENGANA","17"
"143","CHIZUNGU II","17"
"144","CHIZUNGU I","17"
"145","MPITANJALA","17"
"146","MUNDIRA","17"
"147","CHAIMA","17"
"148","CHINGODZI","17"
"149","GOVATI","17"
"150","KUNKWAWA","17"
"151","KUNTHAMBO","17"
"152","MAZENGA","17"
"153","YONAMU","17"
"154","ACKISHONI","17"
"155","DINESI","17"
"156","KUNYALANI","17"
"157","LIWONDE","17"
"158","LIMBANI","17"
"159","SANKHULANI","17"
"160","THUNDU","17"
"161","ELLEN","17"
"162","MBENGO I","17"
"163","MBENGO II","17"
"164","TCHENGULA","17"
"165","CHAULUKA","17"
"166","KAINGA","17"
"167","KALUDZU","17"
"168","KHANDE","17"
"169","MSULUMBA","17"
"170","MTHAWITSA","17"
"171","DAVITE","17"
"172","MALIA","17"
"173","NJIRAYAGOMA","17"
"174","SAMUEL","17"
"175","WIZALAMU","17"
"176","FAYINESI","17"
"177","KALUMPHA","17"
"178","NSENJERE","17"
"179","CHINZONGO","17"
"180","MAFIYO","17"
"181","MALEMBE","17"
"182","MALIFA","17"
"183","PHALULA I","17"
"184","PHALULA II","17"
"185","PHALULA TC","17"
"186","TCHENGA TC","17"
"187","MPANDASONI","17"
"188","PHOMBEYA","17"
"189","TCHODOLA","17"
"190","CHIGONANDOWE","17"
"191","EBELE","17"
"192","KHAZIBETI","17"
"193","NDUNGUNDE","17"
"194","POFELA","17"
"195","TCHONA","17"
"196","YAMBANI","17"
"197","KACHULE","17"
"198","MOSES","17"
"199","TSITE","17"
"200","ZAKALIYA","17"
"201","ANDERSON","17"
"202","CHIONGOLERA","17"
"203","MAKWEMBA","17"
"204","MATEMBA","17"
"205","BOTOMANI","17"
"206","CHAMBA","17"
"207","CHIMKWITA","17"
"208","CHINYUMBA","17"
"209","JACKSON","17"
"210","KUKADA","17"
"211","MALIKO","17"
"212","MBALATI","17"
"213","MULANGALI","17"
"214","THAWALE","17"
"215","KHWISA TC","17"
"216","DIMITALA","17"
"217","LIWOYA","17"
"218","MTHOTHO","17"
"219","MULANDULA","17"
"220","SITOLO","17"
"221","CHIANI","17"
"222","JIMU","17"
"223","SOMO","17"
"224","THAKIWA","17"
"225","KABANGO","17"
"226","MANDEVU","17"
"227","MISANJO","17"
"228","NJELEKA","17"
"229","ODILO","17"
"230","TOLEZA","17"
"231","AMIDU","17"
"232","LICHARD BAKALI","17"
"233","MDALA","17"
"234","MTIMBUKA","17"
"235","MTIMBUKA II","17"
"236","CHABUNDA","17"
"237","CHIBWEYA","17"
"238","MAPOMBA","17"
"239","MIZINGA","17"
"240","MSILILI","17"
"241","NKUNDIKA","17"
"242","NYANGA","17"
"243","SHALE","17"
"244","CHATAMA I","17"
"245","CHATAMA II","17"
"246","CHILOLE","17"
"247","KASUWA","17"
"248","KAZEMBE","17"
"249","MPATE","17"
"250","MPIKA","17"
"251","MPUNGA","17"
"252","MWAWA","17"
"253","PALINGWA","17"
"254","CHIFODYA","17"
"255","KOLOKO","17"
"256","SAIKOLO","17"
"257","SIKU","17"
"258","CHIPALAMILOMO","17"
"259","JASITALA","17"
"260","MAKWATI","17"
"261","MLANGALI","17"
"262","MUWOZA","17"
"263","CHABWELA","17"
"264","CHIPILE","17"
"265","CHITALO","17"
"266","CHITALO II","17"
"267","MALETA","17"
"268","MATUTA","17"
"269","CHOPI","17"
"270","HINDAHINDA I","17"
"271","HINDAHINDA II","17"
"272","LIUNDI","17"
"273","MILAMBE","17"
"274","MTENDE","17"
"275","MWIMA TC","17"
"276","KABOTOLO","17"
"277","KOMESERE","17"
"278","PEMBA","17"
"279","STORO","17"
"280","GEDION","17"
"281","KANG""OMBE","17"
"282","KANJOVU","17"
"283","WILSON","17"
"284","ELIYOTI","17"
"285","KATAPILA","17"
"286","KATAPILA II","17"
"287","MPILE","17"
"288","MPONDA","17"
"289","THOMU","17"
"290","KUMJALE","17"
"291","KUMJALE II","17"
"292","LUPALE","17"
"293","TAIBU","17"
"294","KASEMBEDU","17"
"295","M""DENGA I","17"
"296","M""DENGA II","17"
"297","MAGOMBO","17"
"298","MLEMBE","17"
"299","SAYITI","17"
"300","SIDILEKI","17"
"301","LAWE","17"
"302","MAGOMBO I","17"
"303","MAGOMBO II","17"
"304","MAGOMBO III","17"
"305","PONGOLANI","17"
"306","ADAMU","17"
"307","CHALUDWA","17"
"308","CHAMBA","17"
"309","CHILEKA","17"
"310","LUKONGOLO","17"
"311","MBERA","17"
"312","JOHN WASILI","17"
"313","KALAMBULE","17"
"314","MDALA I","17"
"315","MUSAH","17"
"316","YUSUFU","17"
"317","DUWA","17"
"318","NSANGU","17"
"319","NULU","17"
"320","CHISALANGA","17"
"321","GWEDEZA","17"
"322","KASITOMU","17"
"323","MKWEKWERE","17"
"324","MTEJERA","17"
"325","MTOLE","17"
"326","MTONDA","17"
"327","TAYALI","17"
"328","BANDULA","17"
"329","KAMOWA","17"
"330","KAWINA","17"
"331","MTETEELA","17"
"332","KAMWANGO","17"
"333","MANDANDA","17"
"334","MUSSA","17"
"335","SAFALI","17"
"336","KUTAYALI","17"
"337","MLENGA","17"
"338","MPATA","17"
"339","MWALABU I","17"
"340","MWALABU II","17"
"341","MWALABU III","17"
"342","NAMANOLO TC","17"
"343","CHING""ANDE","17"
"344","MALILABWANA","17"
"345","MALILABWANA II","17"
"346","MJENGA","17"
"347","MTENGA","17"
"348","MWEMBE","17"
"349","SAIZI","17"
"350","CEKE","17"
"351","GEZEMANI","17"
"352","MAKAWA","17"
"353","NAMAYA","17"
"354","BANDAWE","17"
"355","BOKOSI","17"
"356","GUNDA","17"
"357","NAMONDE","17"
"358","NAMONDWE II","17"
"359","MSAMATI I","17"
"360","MSAMATI II","17"
"361","NAMWELA I","17"
"362","NAMWELA II","17"
"363","NANYANGU","17"
"364","KIMU","17"
"365","MANYAMBA","17"
"366","NGASALE","17"
"367","WILIYAMU","17"
"368","CHITEWERE","17"
"369","JEMUSI","17"
"370","KATEWURA","17"
"371","MAULIDI I","17"
"372","MAULIDI II","17"
"373","MTOMA","17"
"374","NKANONGWA","17"
"375","ABUDU","17"
"376","KUMBANGA","17"
"377","MKAWEYA","17"
"378","NAMATE","17"
"379","OFFICE","17"
"380","SUMANI","17"
"381","CHILOBOTO","17"
"382","LEMANI","17"
"383","LEMANI II","17"
"384","NAPWANGA I","17"
"385","NAPWANGA II","17"
"386","NYENJE","17"
"387","TAMBALA","17"
"388","UNDI","17"
"389","WADI","17"
"390","WALA","17"
"391","BAMUSI","17"
"392","IPENDO","17"
"393","KASAMIZA","17"
"394","SUSA","17"
"395","TIFELAKASO","17"
"396","BOWAZI","17"
"397","CHITSAMBA","17"
"398","FELESIYA","17"
"399","LINDADI","17"
"400","MULAKHO","17"
"401","VILIHA","17"
"402","CHIGUMUKIRE","17"
"403","KAMPHONDE","17"
"404","MUONEKERA","17"
"405","BVUBVUTA","17"
"406","CHIYEMBEKEZO","17"
"407","MWALIGULA","17"
"408","CHANDIKOLA","17"
"409","KANJINGA","17"
"410","CHANTHUNYA","17"
"411","CHINGAGWE CHETE","17"
"412","FILE","17"
"413","JAILOSI","17"
"414","MANGENI","17"
"415","MANYOMBE","17"
"416","MGOZA","17"
"417","MJOKOZERA","17"
"418","MKUWEYA","17"
"419","MLANDU","17"
"420","MPHENZI","17"
"421","MULEZAMHANJE","17"
"422","NAMITUMBU","17"
"423","NANTCHENGWA","17"
"424","NGOLEKA","17"
"425","CHIKASWERA","17"
"426","CHINTALI","17"
"427","FOSTER","17"
"428","KACHINGWE","17"
"429","MATIYA","17"
"430","MPONDA","17"
"431","NAMIKOMBE","17"
"432","NDAWA","17"
"433","SHALA","17"
"434","STANILY","17"
"435","GANIWELL","17"
"436","FASTON WESTER","17"
"437","MULUNGUDZI","17"
"438","NSAKANENA","17"
"439","TAMBALA","17"
"440","THINDIRI","17"
"441","ZIDANA","17"
"442","CHINGAGWE  ","17"
"443","JASON","17"
"444","LABSON","17"
"445","LUWISI","17"
"446","MAKANANI","17"
"447","MASENJERE","17"
"448","MDELEZINA","17"
"449","MZEMANI","17"
"450","MZULANJOBVU","17"
"451","JAMBAWE","17"
"452","MUOZA","17"
"453","JOE LINZI","17"
"454","KAMBADYA I","17"
"455","KAMBADYA II","17"
"456","LINZI","17"
"457","SIKONO","17"
"458","CHIWONDO","17"
"459","JOSWA","17"
"460","LANGWANI","17"
"461","WATER","17"
"462","CHENDEWA","17"
"463","CHIKONDI","17"
"464","KABVALA I","17"
"465","KABVALA II","17"
"466","KAMPINI","17"
"467","KUSHETO","17"
"468","MUSSA","17"
"469","CHIKAONEKA","17"
"470","CHIKWIRI","17"
"471","DALO","17"
"472","MPAMBILA","17"
"473","SUNGANI","17"
"474","CHIMPONDA","17"
"475","CHIZUNGUCHINO","17"
"476","KANKAO","17"
"477","KANKAO TC","17"
"478","KHUNDIRA","17"
"479","MADYERATU","17"
"480","MALAKAMU","17"
"481","CHIMWALA","17"
"482","CHITSULO","17"
"483","KANJOKA","17"
"484","KAPUKU","17"
"485","MAITON","17"
"486","MALOPA","17"
"487","THAMANDA","17"
"488","JOHN","17"
"489","NAKAPA","17"
"490","PHILIP MBEWE","17"
"491","ZULAYE","17"
"492","CHAOLA","17"
"493","DIDIYA","17"
"494","KWALAKWATA","17"
"495","MANJANJA","17"
"496","SAMI","17"
"497","KAMBA","17"
"498","MAJIYA","17"
"499","MALUWA","17"
"500","TSANYAWOYERA","17"
"501","MAKOKOLA","17"
"502","MATEYU","17"
"503","MTHENGOMWACHA I","17"
"504","MTHENGOMWACHA II","17"
"505","BEN","17"
"506","CHIKAMERA","17"
"507","CHINAZA","17"
"508","KAMYETSA","17"
"509","KAPINDULA","17"
"510","KAUKUWE","17"
"511","LIPENGA","17"
"512","MKALULUKA","17"
"513","MKWEZALAMBA","17"
"514","MTONYA","17"
"515","NYANYALA I","17"
"516","NYANYALA II","17"
"517","NYANYALA TC","17"
"518","SANUDI","17"
"519","SIKENALA","17"
"520","THAMANGIRA I","17"
"521","THAMANGIRA II","17"
"522","YOLOMONI","17"
"523","MPOCHERA","17"
"524","PILATO (LEVENI)","17"
"525","CHING""AMBA","17"
"526","GOBEDE","17"
"527","GREY","17"
"528","KAMYAT(MAGOMBO II)","17"
"529","KAPOLOMA","17"
"530","PIYO","17"
"531","SAKA I","17"
"532","SAKA II","17"
"533","SILIYA","17"
"534","ZANGAPHE","17"
"535","MALEMBA","17"
"536","MBWEMBA","17"
"537","NGONGOMWA","17"
"538","NTONDOKERA","17"
"539","CHANGADEYA","17"
"540","CHIZINGA","17"
"541","THOM","17"
"542","BAMBA","17"
"543","CHIDA","17"
"544","CHIMBALAME","17"
"545","DZIMATI II","17"
"546","KAPITO","17"
"547","MILIKA","17"
"548","ZANDEYA","17"
"549","UYERE I","17"
"550","UYERE II","17"
"551","DZIKUZENJI","17"
"552","HASANI","17"
"553","MGWAGWA","17"
"554","WIZALAMU","17"
"555","CHIKAPHONYA","17"
"556","CHIMIMBA","17"
"557","KALIWOTCHI","17"
"558","MANYUMBA","17"
"559","MULAMBIKA","17"
"560","MWASEKERA","17"
"561","PHINGO","17"
"562","CHALAWE","17"
"563","CHIHOLOMBA","17"
"564","CHIMDIKITI","17"
"565","HOBA","17"
"566","JUMBE","17"
"567","KEFA","17"
"568","MBAVA","17"
"569","NSAKASA","17"
"570","CHIYAKA","17"
"571","GOPOLE","17"
"572","JAMBO","17"
"573","CHITUMBE","17"
"574","DAILESI","17"
"575","GOMANI","17"
"576","MUSSA","17"
"577","NMWELA","17"
"578","SANDE","17"
"579","CHIKOKO","17"
"580","CHINGWALUNGWALU","17"
"581","KABIYO","17"
"582","KALEMBO","17"
"583","KALEMBO II","17"
"584","MICHESI","17"
"585","MPANGO","17"
"586","MTONDA","17"
"587","MWALERO","17"
"588","NG""OMBE","17"
"589","NSIMA","17"
"590","SHUGA","17"
"591","AMUSSA","17"
"592","BATOMEYO","17"
"593","KANSIYENI","17"
"594","KATHUMBA","17"
"595","KUMTIYANI","17"
"596","LIJERA","17"
"597","MOGOYA","17"
"598","SELA","17"
"599","CHIKOLONGO","17"
"600","KALAKO","17"
"601","KWENJE","17"
"602","LIGWANG""WA","17"
"603","CHIWALO","17"
"604","M""BAWA","17"
"605","NAMACHILA","17"
"606","NAMUNDE","17"
"607","MAJIKUTA","17"
"608","MDOKA","17"
"609","CHESANI","17"
"610","CHINGALE","17"
"611","KAPHUKA","17"
"612","MAKWINJA","17"
"613","MASAMBUKA","17"
"614","MAZEZE","17"
"615","MTAMBALIKA","17"
"616","SALIMU","17"
"617","WHITE","17"
"618","MAGOMBE","17"
"619","MANINJI","17"
"620","TAMBALA","17"
"621","KALIMILA","17"
"622","MASELEMA","17"
"623","PHUTU","17"
"624","BIMBI","17"
"625","KAGASA","17"
"626","MAYELA","17"
"627","SWOLEYI","17"
"628","MGULURA","17"
"629","MTIRA","17"
"630","GUNDA","17"
"631","MJUNGA","17"
"632","MKAMWANA","17"
"633","MWAMADI","17"
"634","SIMBINDE","17"
"635","WILLIAM","17"
"636","CHIGWENEMBE","17"
"637","EDWARD","17"
"638","KAWANGA","17"
"639","KUNENA","17"
"640","MAKALANI","17"
"641","MATUKUTA","17"
"642","MKANDA","17"
"643","MMANIWA","17"
"644","NGWALU","17"
"645","SAPA","17"
"646","CHIWUNDU","17"
"647","MAKANDE","17"
"648","MKWETA","17"
"649","NSALIWA","17"
"650","NSUWO","17"
"651","AMANU","17"
"652","MMANGA","17"
"653","MWALABU","17"
"654","MPALE TC","17"
"655","KAPITO","17"
"656","MLUMA","17"
"657","MPEMBA","17"
"658","MPONDA","17"
"659","MUYAKA","17"
"660","PETER KASANGA","17"
"661","CHAKWIYA","17"
"662","CHITSEKO","17"
"663","KUMCHENGA","17"
"664","MATIYA","17"
"665","MTELERA","17"
"666","MULILIMA","17"
"667","PEMBA","17"
"668","WADI","17"
"669","CHIPAPA","17"
"670","KAMWANA","17"
"671","KASENJERA","17"
"672","NAMUNGUMI","17"
"673","NDEMBWE","17"
"674","GALANJE","17"
"675","MILALA","17"
"676","MKOTA","17"
"677","NANDUMBO","17"
"678","NANDUMBO TC","17"
"679","NOGWE","17"
"680","NYANYIKA","17"
"681","MALIDADI","17"
"682","MAPIKO","17"
"683","NSULU","17"
"684","MAKUNGANYA","17"
"685","MDALA","17"
"686","NYANG""WA","17"
"687","JACKSON","17"
"688","MASULA MANJA","17"
"689","SIMBOTA","17"
"690","ULONGWE TC","17"
"691","TCHAIDONI","17"
"692","KUCHIGANGA","17"
"693","MANYEKHULA","17"
"694","MZITO","17"
"695","SELEMANI","17"
"696","CHAMPONDEKEZA","17"
"697","CHENDAUSIKU II","17"
"698","KAMBADI","17"
"699","LAJA","17"
"700","M""MANGENI","17"
"701","MANGANI","17"
"702","MOLOSI","17"
"703","KAMOTO","17"
"704","KASONYA","17"
"705","NAZIYAYA","17"
"706","CHALAMANDA","17"
"707","MIKAYERE","17"
"708","NGOLINGA","17"
"709","CHITARA II","17"
"710","JAMES","17"
"711","KALIMBUKA","17"
"712","MAHOWA","17"
"713","MITCHAYA","17"
"714","MITOCHI","17"
"715","NAMBAZO","17"
"716","SILIYA","17"
"717","CHIPOLE","17"
"718","KUMAJANGA","17"
"719","MILOPA","17"
"720","MWAMADI","17"
"721","NTOJIMANGA","17"
"722","SAWASAWA","17"
"723","SIBO","17"
"724","YASINI","17"
"725","CHIBWANA I","17"
"726","CHIBWANA II","17"
"727","KUNTENJERA","17"
"728","PHASULE","17"
"729","CHAONA","17"
"730","GWALADI","17"
"731","LAZALO","17"
"732","MALUNGA","17"
"733","MCHOSEN","17"
"734","WALEYA","17"
"735","CHEWADI","17"
"736","CHING""AMBA","17"
"737","CHIPINGA","17"
"738","DINALA","17"
"739","KANYANDA","17"
"740","KANYOZA","17"
"741","KAPARAMURA I","17"
"742","MPONDA","17"
"743","NDOYA","17"
"744","NKOMBA","17"
"745","SOSORA","17"
"746","TSEKA","17"
"747","KANONGWA","17"
"748","KODO","17"
"749","MAKLAUDI","17"
"750","SAKAIKO","17"
"751","ZAM""MIMBA","17"
"752","KWITANDA TC","17"
"753","CHIBALANGA","17"
"754","LAKALAKA","17"
"755","LILE","17"
"756","MPENDAMA","17"
"757","PETHULO","17"
"758","UMALI","17"
"759","ASIKIMU","17"
"760","CHILEMBWE","17"
"761","KALAMBO","17"
"762","M""MANGA I","17"
"763","M""MANGA II","17"
"764","NGUNGWA","17"
"765","NONSON","17"
"766","THUKUTA","17"
"767","CHIPAPALA","17"
"768","GOLOWA","17"
"769","LIKOJA","17"
"770","MAGOMBO","17"
"771","NACHAMBA","17"
"772","NTHUNDE","17"
"773","PHALURA","17"
"774","UKALANGA","17"
"775","LIMANI","17"
"776","MANEYA","17"
"777","BWANALI","17"
"778","CHANGUYA","17"
"779","CHIWAYA","17"
"780","DANKEN","17"
"781","DULANI","17"
"782","GIBISANI","17"
"783","KAIPAKUNJA","17"
"784","KANANJI","17"
"785","KAPITO","17"
"786","MARITCHI","17"
"787","MGUNDO","17"
"788","MJALE","17"
"789","MPEMBEZA","17"
"790","MPINGA","17"
"791","MSIKIZI","17"
"792","MWALELO","17"
"793","NG""ONGA","17"
"794","ADAMU","17"
"795","CHAULUKA","17"
"796","CHINTHUNTHU","17"
"797","HANJAHANJA ","17"
"798","HANJAHANJA II","17"
"799","KACHISI","17"
"800","KANDENGWE","17"
"801","KAPIRE","17"
"802","KAUMPHAWI","17"
"803","MBODZORE","17"
"804","MPHATA","17"
"805","MPULURA II","17"
"806","MTONYA","17"
"807","NCHISA","17"
"808","NGOLONJE","17"
"809","NJEDE","17"
"810","NTCHENTCHE","17"
"811","USIGARA","17"
"812","CHASOCHERA","17"
"813","CHASOCHERA II","17"
"814","KUKATUNDU","17"
"815","MTONYA I","17"
"816","NG""OMBE","17"
"817","CHINGOTA","17"
"818","LEZERE","17"
"819","MKWEZALAMBA","17"
"820","NANGOMA","17"
"821","CHANI","17"
"822","CHIBWANA","17"
"823","KADONDO","17"
"824","KAUTA","17"
"825","MBATAMILA","17"
"826","NAMONDWE","17"
"827","NGWALU","17"
"828","NJOPILO","17"
"829","NKHALANGO","17"
"830","NZATI","17"
"831","CHIPALA","17"
"832","KATUNGA","17"
"833","MANDEBVU","17"
"834","MASAMBA","17"
"835","MULELEMBA","17"
"836","NAZOMBE","17"
"837","SAIDI","17"
"838","MZUNGA","17"
"839","CHIPUMI","17"
"840","LEMOSI","17"
"841","NKOMALIZA","17"
"842","BINES","17"
"843","JANA","17"
"844","MAKANGATA","17"
"845","ULAYA","17"
"846","CHAKANZA","17"
"847","MAGOMBO","17"
"848","MPILANGWE","17"
"849","SINGANO","17"
"850","CHAMBULUKA","17"
"851","JANKEN","17"
"852","NJOMVUYALEMA","17"
"853","NSOZA","17"
"854","CHIKONGA ","17"
"855","CHIKONGA II","17"
"856","CHIWERE","17"
"857","AKUMACHEMBA","17"
"858","CHIKWAMBA","17"
"859","GAMBI","17"
"860","KUMWINJE","17"
"861","MIRANDA","17"
"862","NKOMAURA","17"
"863","CHIMATIRO","17"
"864","ISSA","17"
"865","KANTHEMBWE","17"
"866","WADI","17"
"867","KASYANO","17"
"868","NAMALUWO","17"
"869","NKHOZI","17"
"870","HAU","17"
"871","KAMOWATIMWA","17"
"872","NAWETA I","17"
"873","CHIWAYA","17"
"874","DODOMA","17"
"875","KANTANJWE","17"
"876","LUBELETO","17"
"877","MAKAWA","17"
"878","NJALAMANDA","17"
"879","NTUPUWA","17"
"880","SEKAZAWO","17"
"881","SOLOMONI","17"
"882","UTALE II TC","17"
"883","DAMBA","17"
"884","CHIGAGA","17"
"885","KANDAMU","17"
"886","KUZARO","17"
"887","MAGILETA","17"
"888","MISOMALI","17"
"889","MPEPO","17"
"890","CHIMWALA","17"
"891","JAWADU","17"
"892","KWERANI","17"
"893","MALIKURA","17"
"894","SITORA","17"
"895","WOTCHI","17"
"896","NYERELE","17"
"897","MABUKA","17"
"898","MEREKA","17"
"899","SINJA","17"
"900","CHIMPANGO","17"
"901","MSUKWA","17"
"902","NSAMBUZI","17"
"903","CHILANGA","17"
"904","CHIRUMBA","17"
"905","CHIYATA","17"
"906","CHIYINJENI","17"
"907","MANYONGA","17"
"908","TAIMU","17"
"909","UTALE","17"
"910","DAVIDE","17"
"911","JEDENI","17"
"912","KAYAMBA","17"
"913","MBUNGO","17"
"914","MGOMWA TC","17"
"915","CHIMIMBA","17"
"916","CHINGERE","17"
"917","CHISONI","17"
"918","KANGAUNDE","17"
"919","MATIPANI","17"
"920","MBEWE","17"
"921","MPIMBI TC","17"
"922","NDATOPA","17"
"923","OSTEN","17"
"924","KUMVAZAWANA","17"
"925","MULUMA","17"
"926","NSAMBAZI","17"
"927","NYALUGWE","17"
"928","BONONGWE","17"
"929","NAMIYAKA","17"
"930","CHIKWERU","17"
"931","JIYA","17"
"932","SOZINYO","17"
"933","ALI","17"
"934","CHIPEMBERE","17"
"935","MUSSA","17"
"936","NJELENJE TC","17"
"937","NYAMBI","17"
"938","TEPANI","17"
"939","YASINI","17"
"940","MISANJE","17"
"941","NTANDIWA","17"
"942","CHAMBO","17"
"943","GUMBARA","17"
"944","MBIYA","17"
"945","NDIMBURE","17"
"946","NJAWALA","17"
"947","NKAYA I","17"
"948","NKAYA II","17"
"949","NSOMA","17"
"950","JINGASIYA","17"
"951","KADAMMANJA","17"
"952","MANYONI","17"
"953","UTALE I","17"
"954","CHIBATI","17"
"955","KAOMBE","17"
"956","KWENJE","17"
"957","MUROLE","17"
"958","NSAAMILA","17"
"959","JONASI","17"
"960","KAMWENDO","17"
"961","MIULIYA","17"
"962","KATULI","17"
"963","NJIRAGOMA","17"
"964","MULIYA","17"
"965","BEMEYANI","17"
"966","GOLIATI","17"
"967","JOSWA","17"
"968","WISIKI","17"
"969","CHIKONDENJI","17"
"970","MPOKOSA","17"
"971","GOMIWA","17"
"972","CHIKAKUNDA","17"
"973","CHINGAWA","17"
"974","KATUNGA","17"
"975","MKOLIMBO","17"
"976","ODIRO","17"
"977","CHIFODYA","17"
"978","KOLOKO","17"
"979","SAYIKOLO","17"
"980","TSIKU","17"
"981","CHIKALOGWE","17"
"982","MINDANO","17"
"983","ZIPAYIWO","17"
"984","CHIDZAMBUYO","17"
"985","CHIKOLORERE","17"
"986","CHIPALAMILOMO","17"
"987","DZAKADZI","17"
"988","LAUDANI","17"
"989","NAMBALA","17"
"990","SUNGALEKE","17"
"991","BLUSI","17"
"992","CHIMATIRO","17"
"993","CHIUJA","17"
"994","MALIKI","17"
"995","MALUNGA","17"
"996","MPINGANJIRA","17"
"997","MSOSA","17"
"998","NGUNDE I","17"
"999","NGUNDE II","17"
"1000","ULI","17"
"1001","CHINKWAKWA","17"
"1002","CHIWAMBO","17"
"1003","KUMVERAKWETHU","17"
"1004","LIKAGWA","17"
"1005","M""DAKAZIONA","17"
"1006","ANANSIOMWEWA","17"
"1007","EFETE","17"
"1008","KACHIPEYA","17"
"1009","NAMUWASO","17"
"1010","NAMUWELUSO","17"
"1011","JESITALA","17"
"1012","MPONDA","17"
"1013","MULANGALI","17"
"1014","MUOZA","17"
"1015","CHAGUNDA","17"
"1016","CHIPWERE","17"
"1017","ELIASI","17"
"1018","MASACHE","17"
"1019","MILIWA","17"
"1020","CHAMBO","17"
"1021","CHISASIKO","17"
"1022","KANYOZA","17"
"1023","MCHEREWATHA","17"
"1024","CHIWOZA","17"
"1025","FAITI","17"
"1026","GONTHU","17"
"1027","NAMAUYA","17"
"1028","SICHITHA","17"
"1029","CHIOZA","17"
"1030","KADYALUNDA","17"
"1031","KUMTELE","17"
"1032","MAPIRA","17"
"1033","ZIWOYA","17"
"1034","KANG""OMBE","17"
"1035","KANJOVU","17"
"1036","WILISONI","17"
"1037","CHIBWANA","17"
"1038","KATUMA","17"
"1039","ULADI","17"
"1040","YASINI","17"
"1041","KASIYA","17"
"1042","LIWONDE","17"
"1043","LOMPWA","17"
"1044","CHIGWAJA","17"
